key,dtype,size,value,4-sample-spread,class
Tp0M,flt ,4,69.578125,31.66,responsive
Tp0O,flt ,4,49.0041618347168,10.39,responsive
Tp0P,flt ,4,54.9041633605957,16.29,responsive
Tp0Q,flt ,4,64.078125,24.31,responsive
Tp0S,flt ,4,49.128658294677734,10.87,responsive
Tp0T,flt ,4,54.628658294677734,16.37,responsive
Tp0U,flt ,4,72.296875,32.3,responsive
Tp0W,flt ,4,48.8079833984375,10.07,responsive
Tp0X,flt ,4,54.707984924316406,15.97,responsive
Tp0Y,flt ,4,62.6875,24.3,responsive
Tp0a,flt ,4,48.99993133544922,10.6,responsive
Tp0b,flt ,4,54.49993133544922,16.1,responsive
Tp0c,flt ,4,68.796875,31.56,responsive
Tp0d,flt ,4,48.64518737792969,9.72,responsive
Tp0e,flt ,4,54.545188903808594,15.62,responsive
Tp0f,flt ,4,63.59375,23.83,responsive
Tp0g,flt ,4,48.439048767089844,9.87,responsive
Tp0i,flt ,4,53.939048767089844,15.37,responsive
Tp0k,flt ,4,70.0625,30.06,responsive
Tp0l,flt ,4,48.3297233581543,9.22,responsive
Tp0m,flt ,4,57.52972412109375,18.42,responsive
Tp0n,flt ,4,60.53125,20.98,responsive
Tp0o,flt ,4,47.63957977294922,8.57,responsive
Tp0q,flt ,4,56.83958053588867,17.77,responsive
Tp0t,flt ,4,59.65625,20.12,responsive
Tp0u,flt ,4,47.73579788208008,8.46,responsive
Tp0v,flt ,4,56.93579864501953,17.66,responsive
Tp0w,flt ,4,59.578125,19.81,responsive
Tp1i,flt ,4,-4.0,,
Tp1j,flt ,4,1.9000000953674316,38.1,responsive
Tp1k,flt ,4,0.0,,
Tp1m,flt ,4,-4.0,,
Tp1n,flt ,4,1.5,38.5,responsive
Tp1o,flt ,4,0.0,,
Tp1q,flt ,4,-4.0,,
Tp1t,flt ,4,1.9000000953674316,38.1,responsive
Tp1u,flt ,4,0.0,,
Tp1v,flt ,4,-4.0,,
Tp1w,flt ,4,1.5,38.5,responsive
Tp1x,flt ,4,0.0,,
Tp1y,flt ,4,-4.0,,
Tp1z,flt ,4,1.9000000953674316,38.1,responsive
Tp20,flt ,4,0.0,,
Tp21,flt ,4,-4.0,,
Tp22,flt ,4,1.5,38.5,responsive
Tp23,flt ,4,0.0,,
Tp24,flt ,4,-4.0,,
Tp25,flt ,4,1.9000000953674316,38.1,responsive
Tp26,flt ,4,0.0,,
Tp27,flt ,4,-4.0,,
Tp28,flt ,4,1.5,38.5,responsive
Tp29,flt ,4,0.0,,
Tp2A,flt ,4,-4.0,,
Tp2B,flt ,4,1.9000000953674316,38.1,responsive
Tp2C,flt ,4,0.0,,
Tp2D,flt ,4,-4.0,,
